,1709
POINT (12.592425929434588 55.687678456425665),2
POINT (12.592509521415467 55.67855641188637),103
POINT (12.59268179879552 55.66785095321652),30
POINT (12.592783742006992 55.67396961070741),47
POINT (12.592794469387991 55.66634408521959),6
POINT (12.592835612911426 55.67073152406617),8
POINT (12.592895861777293 55.67483409019331),54
POINT (12.593059812698886 55.68509925959454),30
POINT (12.59312842645654 55.670659593293095),64
POINT (12.593325936916457 55.672965488967414),70
POINT (12.593448317529464 55.68085194758895),65
POINT (12.593464144005411 55.673764398767524),30
POINT (12.593523270484495 55.68100074988611),49
POINT (12.593529372339862 55.68212967457689),26
POINT (12.593611207786664 55.66568881897465),17
POINT (12.593705332691087 55.67216768418259),5
POINT (12.593747693404651 55.67925707443767),38
POINT (12.593844697836957 55.68021797999364),64
POINT (12.593900277716209 55.674581703543964),9
POINT (12.593985682311732 55.67422334587626),37
POINT (12.594061972939498 55.66805228216308),26
POINT (12.594100570163553 55.67323062387245),69
POINT (12.594158824833784 55.667748523607344),15
POINT (12.59417031101186 55.68537218426699),77
POINT (12.594274678698213 55.68770567971107),30
POINT (12.594473029270079 55.68792187032299),80
POINT (12.594823003148623 55.671966272750964),74
POINT (12.594950611519481 55.66376916539948),22
POINT (12.594987595784662 55.68412558392477),48
POINT (12.595081864856713 55.67477844682126),22
POINT (12.595174380111121 55.68650011622038),12
POINT (12.59523131696744 55.673784117007045),152
POINT (12.595409779463568 55.66314729476031),29
POINT (12.595627704149775 55.68670176020744),42
POINT (12.595747480940222 55.685110086542686),40
POINT (12.595826344784323 55.664716562525456),44
POINT (12.59585172776364 55.68739308149204),23
POINT (12.59591054964116 55.68789730359394),5
POINT (12.595930047185417 55.666727028373465),17
POINT (12.595956635727225 55.66517999407729),26
POINT (12.595961989272867 55.6661314835702),1
POINT (12.596016645798993 55.664092047275176),11
POINT (12.596040973784495 55.688067968368806),16
POINT (12.59618822396029 55.68533324500179),8
POINT (12.596197996793348 55.68742466811819),27
POINT (12.596280371048573 55.66737242880687),32
POINT (12.596497223105565 55.6654507883243),26
POINT (12.596591712931213 55.66326093404284),23
POINT (12.596625493245023 55.66804108047546),32
POINT (12.596820336114424 55.66622197732883),8
POINT (12.596822134457891 55.66429051766878),30
POINT (12.596966118863829 55.66514281861808),30
POINT (12.597064166498606 55.688450864744645),164
POINT (12.597306213304666 55.68821108516336),35
POINT (12.597313068356764 55.66655898548024),32
POINT (12.597345783814575 55.663599136833945),13
POINT (12.597483796751657 55.666483859811315),49
POINT (12.597522932358203 55.665752939629044),65
POINT (12.597667769213981 55.668141493718096),84
POINT (12.597751459069192 55.66308902056196),29
POINT (12.597756089951453 55.664419953128665),33
POINT (12.597950569785116 55.67510462341967),99
POINT (12.59798245590007 55.66235316770924),5
POINT (12.59823367568849 55.66186298315967),29
POINT (12.59826983179038 55.668755357880585),26
POINT (12.598294060524088 55.66781007035725),85
POINT (12.598363386034592 55.66522189468481),9
POINT (12.598370956086406 55.66380786852901),22
POINT (12.5988579204294 55.67583762592978),71
POINT (12.598963006014191 55.66702403280004),88
POINT (12.598971184392676 55.66139649121876),17
POINT (12.598987288282837 55.668138711893626),35
POINT (12.599037316790037 55.66868245403683),9
POINT (12.599047493573755 55.66473147633016),124
POINT (12.59906388937633 55.66209763537485),20
POINT (12.599210953962547 55.66668479553559),31
POINT (12.599227740410045 55.663435434029395),18
POINT (12.599397244408134 55.66693633338366),15
POINT (12.599624468091394 55.66292749570864),25
POINT (12.599671262251976 55.66089827038323),20
POINT (12.599808499912912 55.66407333855863),27
POINT (12.599947638996621 55.67613242432251),34
POINT (12.60013148262262 55.666913496066684),19
POINT (12.600156309021934 55.66373887021763),19
POINT (12.600172981254874 55.667444560700616),40
POINT (12.600296562946632 55.66126209746403),8
POINT (12.600298834659242 55.665519631736515),15
POINT (12.600571511565517 55.666287164049116),16
POINT (12.600805137011086 55.66257586849205),83
POINT (12.600813648240534 55.66728967736547),21
POINT (12.60117750579475 55.662011672971964),11
POINT (12.601217392014654 55.66491133767783),55
POINT (12.601229407444904 55.66339067798366),34
POINT (12.601291173425725 55.66723467366332),4
POINT (12.60129528245279 55.65906284987368),13
POINT (12.60132306186831 55.661745914163774),10
POINT (12.601474966982188 55.65983822574707),9
POINT (12.601824308166087 55.666284422890485),32
POINT (12.60199171462269 55.66243357540536),37
POINT (12.601996471466782 55.6596909863322),17
POINT (12.602111550719608 55.66099622351196),12
POINT (12.602238639215182 55.661814425351054),133
POINT (12.602273565010325 55.6675657488469),3
POINT (12.60233140352824 55.66375885244975),25
POINT (12.602371353713508 55.667815091918776),16
POINT (12.602520072299384 55.660441618652825),19
POINT (12.602541007535898 55.66298462118677),40
POINT (12.602614317089882 55.66438328495843),28
POINT (12.602821442285867 55.66526198848693),59
POINT (12.602924013239694 55.65938634997559),27
POINT (12.602984859092905 55.6640042446331),26
POINT (12.603167223597078 55.66250336999539),91
POINT (12.60317123748655 55.66123417490019),16
POINT (12.603391748476518 55.6645431419831),28
POINT (12.603456737309685 55.658624294783515),24
POINT (12.60360093046128 55.66110063098007),53
POINT (12.603739779073132 55.664339634873386),6
POINT (12.603766575170182 55.66037857221075),43
POINT (12.60386762605369 55.66195814730149),10
POINT (12.603981963363198 55.65921160979194),84
POINT (12.604034627535757 55.66797268622762),3
POINT (12.604118286170092 55.65808444073395),6
POINT (12.604134885987373 55.6622221951506),100
POINT (12.604624147516901 55.6641903566011),52
POINT (12.604657821295683 55.661561427938196),51
POINT (12.604980820507505 55.666929039186215),6
POINT (12.605106556969366 55.6587060265814),44
POINT (12.605111913921661 55.65784640290345),25
POINT (12.605318659087953 55.66133907760503),44
POINT (12.605411773698144 55.66537550005842),15
POINT (12.605453059819618 55.66195569700151),25
POINT (12.605659242962238 55.65846537146111),29
POINT (12.605660134550684 55.6625938258049),73
POINT (12.605685203606848 55.66466228498785),19
POINT (12.605692087733754 55.66075995741266),133
POINT (12.606114212017943 55.66534228760507),3
POINT (12.606149558260231 55.66626562753427),7
POINT (12.60622542726429 55.66402995260326),10
POINT (12.606505191624207 55.66170666208022),9
POINT (12.60663315737329 55.664618716725265),18
POINT (12.606872506761894 55.66129696138749),5
POINT (12.606921877063206 55.6641508522941),5
POINT (12.60715399440454 55.66639253938838),6
POINT (12.607205905169208 55.66215177217926),15
POINT (12.607249347946288 55.66255603034074),43
POINT (12.60726404663634 55.6597041598522),40
POINT (12.607379008615554 55.66046824785136),24
POINT (12.607408266858416 55.659950486641705),3
POINT (12.607688909945024 55.66491889709738),41
POINT (12.607773623884661 55.66122830267945),12
POINT (12.607930752782922 55.66422097222342),24
POINT (12.607964010690134 55.659952612677486),31
POINT (12.608033682837684 55.658979125494255),60
POINT (12.608152351125002 55.66199130628576),32
POINT (12.608320295171772 55.66065459461923),10
POINT (12.608517445853618 55.66530901743965),27
POINT (12.608655287172452 55.66235084600387),21
POINT (12.608759777769853 55.65944640885797),27
POINT (12.609016628146225 55.66448240852963),5
POINT (12.609031651131799 55.666797341327076),1
POINT (12.609192163137212 55.66029660410012),28
POINT (12.609208150116027 55.659665227235955),9
POINT (12.60954563327309 55.66360300593079),7
POINT (12.610277234983833 55.66204102557327),13
POINT (12.61027957054757 55.6622517938961),1
POINT (12.610299663264597 55.66145254853103),48
POINT (12.610323268048184 55.66306094511253),15
POINT (12.610428700040819 55.66250090342285),12
POINT (12.610670099281412 55.66155359052964),5
POINT (12.611145107475382 55.66074034408418),10
POINT (12.611799825239766 55.66176412828434),8
POINT (12.611816961640692 55.661468433233686),6
POINT (12.611869807586611 55.661965940876655),3
POINT (12.612135381509617 55.66071217875152),15
POINT (12.612823085405251 55.66096246421756),19
