,1709
POINT (12.558176640379004 55.69070358804628),37
POINT (12.558187211262057 55.671345297029916),65
POINT (12.55822040729364 55.68745279024806),23
POINT (12.55828334747505 55.69372021831341),36
POINT (12.558339888026627 55.66910678653421),19
POINT (12.55839974539578 55.696903259530245),18
POINT (12.5584315191541 55.69522586801798),5
POINT (12.558483725282631 55.666411818001585),4
POINT (12.558483964144168 55.69137453045443),75
POINT (12.558504853197709 55.69750265634913),4
POINT (12.558544292160798 55.69060695494183),18
POINT (12.55862732136273 55.684838787226155),12
POINT (12.558681228744534 55.68408688022357),25
POINT (12.558740303002805 55.670771889067034),7
POINT (12.558789028579037 55.675232165304315),151
POINT (12.558824527422447 55.67153350956145),77
POINT (12.558889231830339 55.67446296816567),47
POINT (12.558967430043632 55.675883776862655),131
POINT (12.558997091211909 55.69289903412953),18
POINT (12.559081793623529 55.69406708107929),23
POINT (12.559115657511985 55.67406970336394),33
POINT (12.559150295825036 55.67542939954038),53
POINT (12.559176266760609 55.6910664308322),18
POINT (12.559209722537586 55.671078810061886),33
POINT (12.559215056533144 55.670576693520964),11
POINT (12.559218394242329 55.67665732956554),92
POINT (12.559245805350534 55.69553047494756),9
POINT (12.559274909640981 55.66996470051049),5
POINT (12.559356616377963 55.67613171557109),153
POINT (12.559358153907356 55.690174843009544),22
POINT (12.559490594946459 55.696429762256),14
POINT (12.559497218955315 55.6948007459266),27
POINT (12.559553616726047 55.69198158707231),49
POINT (12.559577122137641 55.68525873096927),26
POINT (12.559583813779492 55.677111223263175),77
POINT (12.559737106722139 55.67441268292923),45
POINT (12.559785096909645 55.6970733521007),3
POINT (12.559992411695417 55.68926715784225),42
POINT (12.560075665599843 55.69342265309695),31
POINT (12.560090335482347 55.70401451755847),16
POINT (12.56009099929889 55.67895993351843),8
POINT (12.560103951609515 55.68887085511901),55
POINT (12.560126922250271 55.68680541921306),14
POINT (12.560175973074042 55.67520580356768),183
POINT (12.560315328934974 55.67979167777659),13
POINT (12.560326869538029 55.69415269444822),8
POINT (12.56035511019172 55.68592928520745),42
POINT (12.560358470600416 55.68992754945484),7
POINT (12.560378774639728 55.69474144460722),8
POINT (12.560456186351631 55.67682429534966),58
POINT (12.560460921698882 55.6895320376764),26
POINT (12.560492189560511 55.70491243004541),1
POINT (12.56062395870248 55.695160294964644),38
POINT (12.560650573628998 55.67400322051913),26
POINT (12.56066439794107 55.67101545783772),63
POINT (12.5608406739875 55.6919626341557),91
POINT (12.560866028374901 55.67065427896149),22
POINT (12.560882706780905 55.674062939744665),129
