,key,count
395,5932,0
396,5932,0
397,7250,0
398,4660,0
399,9620,0
400,4500,0
401,7741,0
402,6621,0
403,4296,0
404,6855,0
405,6470,0
406,8763,0
407,8700,0
408,8700,0
409,8700,0
410,8700,29
411,9900,0
412,9900,0
413,9900,2
414,5853,0
415,2770,0
416,2770,0
417,2770,0
418,2770,7
419,5953,0
420,8200,0
421,4160,0
422,3540,0
423,9293,0
424,6500,0
425,8963,1
426,6940,0
427,2610,2
428,5631,0
429,5631,0
430,4171,0
431,4943,0
432,4943,0
433,5463,0
434,6240,0
435,7173,0
436,2760,1
437,3330,0
438,6400,3
439,6400,1
440,9550,0
441,3660,0
442,2690,0
443,2920,11
444,4960,0
445,9760,0
446,6683,0
447,5642,0
448,5642,0
449,5642,0
450,2880,4
451,8230,0
452,5884,0
453,4540,0
454,6870,0
455,9240,0
456,9240,0
457,9240,0
458,9240,0
459,8305,0
460,8305,0
461,8305,0
462,8305,0
463,8305,0
464,8305,0
465,8305,0
466,8305,0
467,8305,0
468,7480,6
469,6715,0
470,6740,26
471,6440,0
472,4572,0
473,8382,6
474,8500,1
475,8940,0
476,8940,0
477,4760,0
478,4760,0
479,9800,3
480,3790,4
481,3230,0
482,7362,0
483,4270,1
484,8520,0
485,4874,0
486,7830,1
487,7970,0
488,6091,0
489,4340,0
490,4340,0
491,9940,0
492,9940,0
493,9940,0
494,9940,0
495,9940,0
496,9940,0
497,9940,0
498,9940,0
499,9940,0
500,9940,0
501,6064,0
502,4720,0
503,4720,0
504,4720,0
505,7150,0
506,8210,0
507,4520,0
508,8950,0
509,4591,0
510,4591,0
511,4230,0
512,4230,0
513,4230,0
514,4230,0
515,4230,0
516,7650,0
517,4772,0
518,4772,0
519,4772,0
520,5856,0
521,8840,0
522,3500,1
523,9700,3
524,6392,1
525,5771,0
526,5800,2
527,9270,1
528,7470,0
529,8765,0
530,4640,0
531,4872,0
532,6560,0
533,4900,0
534,4900,0
535,4900,0
536,4900,1
537,4534,0
538,6705,0
539,9000,0
540,9000,9
541,4220,0
542,4220,0
543,2640,3
544,7490,0
545,5260,0
546,3000,4
547,7560,0
548,3751,0
549,3740,0
550,5466,0
551,9870,0
552,4793,0
553,7860,0
554,4050,0
555,4050,0
556,5690,1
557,6971,0
558,6622,1
559,2830,0
560,4291,0
561,7673,0
562,4173,0
563,4100,3
564,2970,2
565,5600,0
566,5600,0
567,5600,0
568,5600,0
569,5600,2
570,4892,0
571,8900,5
572,7183,0
573,4913,0
574,4913,0
575,4913,0
576,5610,0
577,5610,0
578,5610,0
579,5610,0
580,8330,1
581,6310,1
582,8464,1
583,6200,0
584,6200,1
585,7080,1
586,4773,0
587,9520,0
588,5220,0
589,8881,0
590,4654,0
591,8870,0
592,5883,0
593,4241,0
594,4460,0
595,5683,0
596,4000,13
597,6682,0
598,6051,0
599,9575,0
600,8850,0
601,7742,0
602,7742,0
603,6753,0
604,7430,5
605,8960,0
606,6960,0
607,6960,0
608,6960,0
609,6960,2
610,6960,0
611,5000,16
612,5462,0
613,1800 - 1999,3
614,2820,1
615,5672,0
616,5492,0
617,6920,1
618,5620,0
619,3220,0
620,5935,0
621,6000,12
622,7300,1
623,4450,1
624,6580,0
625,6950,2
626,4791,0
627,5474,0
628,4480,0
629,7900,0
630,7900,1
631,8462,0
632,8643,0
633,3770,0
634,9990,0
635,5464,0
636,6100,0
637,6100,4
638,7441,0
639,4871,0
640,9492,0
641,5485,0
642,5985,0
643,4573,0
644,8450,0
645,9440,0
646,9440,0
647,2990,0
648,2870,0
649,9632,0
650,2680,3
651,2100,11
652,4295,0
653,6094,0
654,6094,0
655,8581,0
656,7884,0
657,9970,0
658,4880,0
659,4880,0
660,3480,1
661,9430,0
662,8920,2
663,4330,0
664,7442,0
665,8260,4
666,9280,0
667,3060,1
668,7321,0
669,6823,0
670,9380,0
671,8970,0
672,8970,0
673,4583,1
674,3720,1
675,4200,2
676,8882,0
677,6535,0
678,8961,0
679,6230,0
680,4592,0
681,7184,0
682,6800,3
683,7000,5
684,6320,0
685,9600,0
686,8550,0
687,4281,0
688,4281,0
689,4952,0
690,4750,0
691,4750,0
692,4750,0
693,8680,1
694,8444,0
695,8570,0
696,2700,8
697,9493,0
698,3400,4
699,4684,0
700,6853,0
701,3150,0
702,4690,2
703,7182,0
704,7260,0
705,4653,0
706,6670,0
707,7660,0
708,9610,0
709,4400,9
710,8381,6
711,3300,0
712,4863,0
713,2650,6
714,2670,3
715,6792,0
716,6760,2
717,7270,0
718,4560,0
719,4320,0
720,9382,0
721,3050,0
722,3050,0
723,2605,32
724,9320,0
725,6880,0
726,6880,1
727,9631,0
728,4894,0
729,5591,0
730,5750,1
731,4293,0
732,6040,0
733,2740,0
734,8883,0
735,5320,0
736,8930,0
737,8930,9
738,6990,0
739,6990,0
740,6990,0
741,8632,0
742,8800,19
743,5491,0
744,8250,6
745,4180,1
746,6720,0
747,6720,0
748,6372,0
749,2500,2
750,5330,0
