FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4472,20478,POINT (12.60574662460633 55.65871855161418)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4471,19935,POINT (12.59324649824356 55.65409699744132)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4470,18754,POINT (12.624206093133 55.64707014648232)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446f,19683,POINT (12.61703732553259 55.65129014755152)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446e,21666,POINT (12.61799651248241 55.65670749883394)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446d,21668,POINT (12.62278749098769 55.65855697744254)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446c,20878,POINT (12.62197428154409 55.653541297282)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446b,21341,POINT (12.61179809939457 55.65843676198241)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-446a,20282,POINT (12.59703915269205 55.65882044023567)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4469,165015,POINT (12.56137617660226 55.66193597486301)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4468,165020,POINT (12.51155993353736 55.66447451089616)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4467,165027,POINT (12.56116428408501 55.70781791344268)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4466,28431,POINT (12.48921479999374 55.67681707013333)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4465,21203,POINT (12.60939980835791 55.65748818566722)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4464,20605,POINT (12.60913400432035 55.65501499835377)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4463,23810,POINT (12.59764053228335 55.66201820458967)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4462,23947,POINT (12.60529173721194 55.66087971326709)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4461,23897,POINT (12.60444293725746 55.6594018411258)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4460,21465,POINT (12.61791455839145 55.65566921596486)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445f,23988,POINT (12.60081305031685 55.66161850337316)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445e,23990,POINT (12.60464991605068 55.66188298504469)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445d,22573,POINT (12.63431570854076 55.64903052428855)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445c,22805,POINT (12.62935636476619 55.65340092455995)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445b,25995,POINT (12.63354512195954 55.65933568439598)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-445a,25816,POINT (12.61778755559535 55.66673228333672)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4459,26326,POINT (12.51941274756959 55.70407460266267)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4458,25408,POINT (12.59945490254436 55.66828084653594)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4457,25444,POINT (12.60331257288647 55.66702897002268)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4456,25589,POINT (12.59425980479614 55.67291560470384)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4455,25535,POINT (12.59639754619738 55.67151878943049)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4454,25351,POINT (12.59201547090837 55.66750570277502)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4453,25623,POINT (12.59372968450054 55.67321305795453)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4452,28301,POINT (12.48264212278861 55.68808852439114)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4451,27534,POINT (12.48304427045348 55.68355182792214)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4450,27483,POINT (12.47460170204787 55.68581790354927)
